geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
36047012902,Census Tract 129.02, Kings County, New York,1908,105625,1393800,1113,1175,165,5,93,0,14,54,407
36047013000,Census Tract 130, Kings County, New York,5203,54886,568000,1234,2207,134,38,1094,0,0,95,1673
36047013100,Census Tract 131, Kings County, New York,4137,125139,929300,2407,2472,418,0,352,0,0,212,683
36047013200,Census Tract 132, Kings County, New York,2186,55801,850100,450,617,12,0,1128,0,0,5,424
36047013300,Census Tract 133, Kings County, New York,4657,134306,980200,2652,3068,215,0,449,0,13,283,629
36047013400,Census Tract 134, Kings County, New York,3916,70625,738700,1341,2696,17,20,597,0,0,15,571
36047013500,Census Tract 135, Kings County, New York,3594,112976,971900,1988,2461,194,6,250,0,22,266,401
36047013600,Census Tract 136, Kings County, New York,3946,65708,771700,1447,2768,45,0,532,0,0,64,537
36047013700,Census Tract 137, Kings County, New York,3497,102165,1553600,1565,2208,246,0,155,0,0,154,734
36047013800,Census Tract 138, Kings County, New York,3217,53370,815300,1001,2043,26,0,362,0,25,121,640
36047013900,Census Tract 139, Kings County, New York,3621,108750,1160700,1750,2245,262,27,314,0,20,99,681
36047014000,Census Tract 140, Kings County, New York,1899,61250,789900,538,1540,26,0,198,0,0,0,135
36047014100,Census Tract 141, Kings County, New York,3385,86953,879500,1838,1937,117,0,375,0,54,181,721
36047014200,Census Tract 142, Kings County, New York,3192,61168,790500,988,2174,22,0,308,0,8,44,636
36047014300,Census Tract 143, Kings County, New York,3561,93603,872800,1510,1368,75,11,280,0,62,107,1658
36047014500,Census Tract 145, Kings County, New York,4507,68936,719700,1553,2206,116,63,260,0,11,91,1760
36047014700,Census Tract 147, Kings County, New York,2263,81420,925500,938,1185,113,46,89,0,19,47,810
36047014800,Census Tract 148, Kings County, New York,1337,56216,859800,319,1197,0,0,92,0,0,40,8
36047014900,Census Tract 149, Kings County, New York,5814,103427,929600,2883,3765,158,0,326,0,56,190,1319
36047015000,Census Tract 150, Kings County, New York,1487,70938,730700,401,1120,2,0,249,0,0,0,116
36047015100,Census Tract 151, Kings County, New York,4136,124470,1212900,2302,2703,200,0,177,0,10,321,725
36047015200,Census Tract 152, Kings County, New York,2690,87944,690700,809,1661,66,0,636,0,8,19,300
36047015300,Census Tract 153, Kings County, New York,2746,146458,1176100,1818,1891,133,0,278,0,0,68,376
36047015400,Census Tract 154, Kings County, New York,0,-666666666,-666666666,0,0,0,0,0,0,0,0,0
36047015500,Census Tract 155, Kings County, New York,3688,129464,1176900,2266,3004,172,0,145,0,27,142,198
36047015700,Census Tract 157, Kings County, New York,4198,106583,834500,2971,3061,158,32,433,0,14,164,336
36047015900,Census Tract 159, Kings County, New York,5125,127759,904200,3420,4239,212,36,201,0,41,175,221
36047016000,Census Tract 160, Kings County, New York,3989,59872,555800,1185,2207,100,0,610,19,10,58,985
36047016100,Census Tract 161, Kings County, New York,3239,111333,1081000,1946,2123,346,0,175,0,0,190,405
36047016200,Census Tract 162, Kings County, New York,2275,71042,582700,925,1685,28,0,280,0,15,36,231
36047016300,Census Tract 163, Kings County, New York,3299,86997,840000,1799,1940,766,0,220,0,16,167,190
36047016400,Census Tract 164, Kings County, New York,634,97679,-666666666,186,446,67,0,29,0,0,48,44
36047016500,Census Tract 165, Kings County, New York,5619,148831,1106100,3667,4296,103,0,429,0,34,294,463
36047016600,Census Tract 166, Kings County, New York,1842,95625,851600,618,1672,0,6,66,0,0,0,104
36047016700,Census Tract 167, Kings County, New York,5482,130109,1119900,3336,4605,52,0,366,0,14,115,330
36047016800,Census Tract 168, Kings County, New York,1852,82188,704300,632,1128,0,0,596,0,7,25,96
36047016900,Census Tract 169, Kings County, New York,4682,91351,878600,2291,3104,71,0,602,0,0,107,798
36047017000,Census Tract 170, Kings County, New York,3935,71250,826900,824,1593,81,0,1662,0,0,0,599
36047017100,Census Tract 171, Kings County, New York,3986,116339,937100,2222,3310,58,0,242,0,5,59,312
36047017200,Census Tract 172, Kings County, New York,3877,65727,680000,986,1355,0,0,1587,29,30,0,876
36047017400,Census Tract 174, Kings County, New York,1993,91250,635400,583,1113,0,0,793,0,10,29,48
36047017500,Census Tract 175, Kings County, New York,0,-666666666,-666666666,0,0,0,0,0,0,0,0,0
36047017600,Census Tract 176, Kings County, New York,2437,53162,613600,512,1013,6,0,894,0,0,0,524
36047017700,Census Tract 177, Kings County, New York,0,-666666666,-666666666,0,0,0,0,0,0,0,0,0
36047017800,Census Tract 178, Kings County, New York,3219,55972,633000,636,815,85,0,1174,0,0,160,985
36047017900,Census Tract 179, Kings County, New York,4274,55230,990400,1396,876,2063,0,175,0,11,175,974
36047018000,Census Tract 180, Kings County, New York,3479,69875,867200,573,1612,0,11,939,0,0,0,917
36047018100,Census Tract 181, Kings County, New York,3531,81178,910200,2164,1791,969,0,261,0,0,83,427
36047018200,Census Tract 182, Kings County, New York,3542,56853,744500,525,1045,98,0,1757,0,0,0,642
36047018300,Census Tract 183, Kings County, New York,2934,94055,1092900,1710,1679,544,0,143,0,18,232,318
36047018400,Census Tract 184, Kings County, New York,2718,75938,720500,672,1282,0,0,1339,0,0,10,87
36047018501,Census Tract 185.01, Kings County, New York,4788,22893,800000,429,258,2428,38,520,0,39,36,1488
36047018600,Census Tract 186, Kings County, New York,2289,66125,786700,473,1166,25,0,930,0,0,50,118
36047018700,Census Tract 187, Kings County, New York,1471,79659,1145800,588,517,389,0,158,0,0,45,362
36047018800,Census Tract 188, Kings County, New York,2831,61321,770200,505,1567,1,0,970,0,0,1,292
36047019000,Census Tract 190, Kings County, New York,4918,42770,732900,717,1410,51,29,2140,0,0,11,1306
36047019100,Census Tract 191, Kings County, New York,2676,82755,1016900,1067,1226,668,0,140,0,9,178,455
36047019200,Census Tract 192, Kings County, New York,3510,39464,767600,486,1863,22,20,1124,0,0,0,481
36047019300,Census Tract 193, Kings County, New York,5891,53750,289000,1249,1842,2690,0,529,7,10,153,660
36047019400,Census Tract 194, Kings County, New York,3838,39552,646700,497,1033,52,0,1787,0,0,7,959
36047019500,Census Tract 195, Kings County, New York,3886,78984,471900,1977,1683,1376,25,300,0,11,46,458
36047019600,Census Tract 196, Kings County, New York,4844,40634,809000,579,1803,12,0,2064,0,40,0,925
36047019700,Census Tract 197, Kings County, New York,3632,88567,812500,2075,1762,1282,9,191,0,7,172,218
36047019800,Census Tract 198, Kings County, New York,1877,60417,760900,369,979,8,42,757,0,0,0,133
36047019900,Census Tract 199, Kings County, New York,3454,79097,802900,1736,1603,1114,0,222,0,0,204,311
36047020000,Census Tract 200, Kings County, New York,2301,55972,719400,363,1211,10,0,836,0,0,0,244
36047020100,Census Tract 201, Kings County, New York,3828,95441,1132500,2112,1773,1189,0,156,0,33,261,416
36047020200,Census Tract 202, Kings County, New York,2019,92292,705600,454,1204,0,0,699,0,0,0,116
36047020300,Census Tract 203, Kings County, New York,1776,102281,807000,823,738,541,0,255,0,18,20,204
36047020400,Census Tract 204, Kings County, New York,2016,69922,744500,406,1407,0,0,579,7,0,0,23
36047020500,Census Tract 205, Kings County, New York,2703,80496,994600,1518,1465,666,15,221,0,36,147,153
36047020600,Census Tract 206, Kings County, New York,2558,83594,786900,628,1500,31,0,723,0,8,0,296
36047020700,Census Tract 207, Kings County, New York,4310,99327,722000,2492,2326,714,0,206,0,0,309,755
36047020800,Census Tract 208, Kings County, New York,3192,52500,766600,653,1106,40,69,1713,0,0,116,148
36047021000,Census Tract 210, Kings County, New York,4514,45586,753600,708,1549,36,0,2116,0,0,92,721
36047021100,Census Tract 211, Kings County, New York,1577,45909,605000,435,284,613,0,67,0,0,43,570
36047021200,Census Tract 212, Kings County, New York,5138,38068,761200,440,1120,0,0,3726,0,0,31,261
36047021300,Census Tract 213, Kings County, New York,4267,40967,-666666666,1170,779,3097,0,54,0,16,95,226
36047021400,Census Tract 214, Kings County, New York,2382,56429,823900,180,1157,0,0,1110,0,12,13,90
36047021500,Census Tract 215, Kings County, New York,5166,64798,667800,2366,1774,2057,19,418,0,18,244,636
